_id,play_type,yards_gained,interception,fumble_lost,rush_attempt,pass_attempt,pass_touchdown,rush_touchdown,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name
ObjectId("5c0c8fec4881fd17b071f51a"),run,7,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f51b"),run,0,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f51c"),pass,0,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA
ObjectId("5c0c8fec4881fd17b071f51d"),pass,17,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0033857,J.Smith-Schuster,NA,NA
ObjectId("5c0c8fec4881fd17b071f51e"),run,3,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f51f"),run,-2,0,0,1,0,0,0,NA,NA,NA,NA,00-0033553,J.Conner
ObjectId("5c0c8fec4881fd17b071f520"),run,2,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f521"),field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f522"),run,50,0,0,1,0,0,0,NA,NA,NA,NA,00-0032426,A.Collins
ObjectId("5c0c8fec4881fd17b071f523"),pass,0,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f524"),pass,16,0,0,0,1,1,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f525"),run,0,0,0,1,0,0,0,NA,NA,NA,NA,00-0031375,T.West
ObjectId("5c0c8fec4881fd17b071f526"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f527"),run,1,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f528"),pass,5,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0030521,J.Hunter,NA,NA
ObjectId("5c0c8fec4881fd17b071f529"),run,-3,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f52a"),pass,0,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA
ObjectId("5c0c8fec4881fd17b071f52b"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f52c"),pass,7,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0032135,J.James,NA,NA
ObjectId("5c0c8fec4881fd17b071f52d"),punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f52e"),pass,-6,0,0,0,1,0,0,00-0026158,J.Flacco,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f52f"),pass,10,0,0,0,1,0,0,00-0026158,J.Flacco,00-0022943,B.Watson,NA,NA
ObjectId("5c0c8fec4881fd17b071f530"),pass,14,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f531"),run,2,0,0,1,0,0,0,NA,NA,NA,NA,00-0032426,A.Collins
ObjectId("5c0c8fec4881fd17b071f532"),pass,8,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f533"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f534"),run,-3,0,0,1,0,0,0,NA,NA,NA,NA,00-0031375,T.West
ObjectId("5c0c8fec4881fd17b071f535"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f536"),pass,0,0,0,0,1,0,0,00-0026158,J.Flacco,00-0032426,A.Collins,NA,NA
ObjectId("5c0c8fec4881fd17b071f537"),pass,-9,0,0,0,1,0,0,00-0026158,J.Flacco,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f538"),punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f539"),run,2,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f53a"),pass,4,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0030496,L.Bell,NA,NA
ObjectId("5c0c8fec4881fd17b071f53b"),pass,0,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA
ObjectId("5c0c8fec4881fd17b071f53c"),punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
